VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
363,"Space Shuttle Challenger",NASA,https://en.wikipedia.org/wiki/Space_Shuttle_Challenger,Retired,30250,27.5,2,2,56.1,450,3.81,NaN,NaN,Space Shuttle
364,"Space Shuttle Columbia",NASA,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia,Retired,30250,27.5,2,2,56.1,450,3.81,NaN,NaN,Space Shuttle
365,"Space Shuttle Discovery",NASA,https://en.wikipedia.org/wiki/Space_Shuttle_Discovery,Retired,30250,27.5,2,2,56.1,450,3.81,NaN,NaN,Space Shuttle
366,"Space Shuttle Endeavour",NASA,https://en.wikipedia.org/wiki/Space_Shuttle_Endeavour,Retired,30250,27.5,2,2,56.1,450,3.81,NaN,NaN,Space Shuttle
367,"Sputnik 8A91",OKB-1,https://en.wikipedia.org/wiki/Sputnik_(rocket),Retired,3784,1.327,2,4,31,NaN,0,3,3,Sputnik
368,"Sputnik 8K71PS",OKB-1,https://en.wikipedia.org/wiki/Sputnik_(rocket),Retired,3903,0.5,2,4,29.1,NaN,0,2.95,3,Sputnik
369,"SS-520",JAXA,https://en.wikipedia.org/wiki/S-Series_(rocket_family)#SS-520,Active,NaN,0.004,3,0,9.54,NaN,0,0.52,NaN,SS-520
370,"SSLV",ISRO,https://en.wikipedia.org/wiki/Small_Satellite_Launch_Vehicle,Planned,NaN,0.5,4,0,34,NaN,0,2,NaN,SSLV
371,"Starship Prototype",SpaceX,https://en.wikipedia.org/wiki/SpaceX_Starship,Active,6000,0,1,0,50,NaN,0,NaN,NaN,Starship Prototype
372,"Starship-Super Heavy",SpaceX,https://en.wikipedia.org/wiki/BFR_(rocket),Planned,61800,100,2,0,118,NaN,0,9,NaN,Starship-Super Heavy
373,"Start",MITT,https://en.wikipedia.org/wiki/Start-1#Variants,Retired,NaN,0.85,5,0,NaN,NaN,0,NaN,NaN,Start
374,"Start-1",MITT,https://en.wikipedia.org/wiki/Start-1,Active,980,0.532,4,0,23,NaN,0.167,NaN,NaN,Start
375,"Strela",NPO Mach,https://en.wikipedia.org/wiki/Strela_(rocket),Retired,2080,1.5,3,0,29.2,NaN,0,1.55,5.4,Strela
376,"Super Stripy",Sandia,https://en.wikipedia.org/wiki/SPARK_(rocket),Active,134,0.25,3,0,18,15,0,1.32,NaN,Super Stripy
377,"Taepodong-1",KCST,https://en.wikipedia.org/wiki/Taepodong-1,Retired,525,0,3,0,26,NaN,0,1,NaN,Taepodong-1
378,"Terran-1",Relativity,https://en.wikipedia.org/wiki/Relativity_Space#Terran_1_launch_vehicle,Planned,NaN,1.25,2,0,NaN,10,0,NaN,NaN,Terran-1
379,"Thor-DM 18 Able I",US Air Force,https://en.wikipedia.org/wiki/Thor-Able,Retired,NaN,0.12,3,0,27,NaN,0,NaN,NaN,Thor
380,"Thor DM-18 Able-II",US Air Force,https://en.wikipedia.org/wiki/Thor-Able,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
381,"Thor DM-18 Able-III",US Air Force,https://en.wikipedia.org/wiki/Thor-Able,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
